No.,Source,Destination,Version,Protocol,Length,Header Length,Total Length,Identification,TTL,Header Checksum,Attack
1,227.31.230.124,192.168.198.130,4,ICMP,42,20,52,0xacfc,128,0x0000,0
2,57.106.193.234,192.168.198.130,4,ICMP,42,20,52,0xacfd,128,0x0000,0
3,187.134.238.55,192.168.198.130,4,ICMP,42,20,52,0x4c53,104,0xea46,0
4,1.58.147.123,192.168.198.130,4,ICMP,42,20,40,0xacfe,128,0x0000,0
5,84.28.10.159,192.168.198.130,4,ICMP,42,20,557,0xacff,128,0x0000,0
6,223.67.57.4,192.168.198.130,4,ICMP,42,20,40,0x0000,13,0xcd85,1
7,248.205.137.9,192.168.198.130,4,ICMP,42,20,55,0x0000,36,oxc106,1
8,150.26.169.200,192.168.198.130,4,ICMP,42,20,40,0x0000,64,ox429d,1
9,203.132.106.9,192.168.198.130,4,ICMP,42,20,36,0x0000,55,ox4829,1
10,55.78.198.33,192.168.198.130,4,ICMP,42,20,38,0x0000,64,ox3041,1
11,197.138.247.96,192.168.198.130,4,ICMP,42,20,345,0xe22f,56,0xf706,0
12,213.247.143.207,192.168.198.130,4,ICMP,42,20,220,0x0fa5,128,0x0000,0
13,111.27.137.140,192.168.198.130,4,ICMP,42,20,116,0x075e,116,0xb332,0
14,160.217.94.1,192.168.198.130,4,ICMP,42,20,117,0x3002,128,0x0000,0
15,74.171.229.124,192.168.198.130,4,ICMP,42,20,105,0x0760,116,0xb44e,0
16,223.66.219.220,192.168.198.130,4,ICMP,42,20,52,0x9daf,105,0x97ea,0
17,223.136.45.89,192.168.198.130,4,ICMP,42,20,40,0xad00,128,0x0000,0
18,107.136.124.140,192.168.198.130,4,ICMP,42,20,40,0xaed4,115,0x2ccc,0
19,239.245.154.142,192.168.198.130,4,ICMP,42,20,40,0xdaf0,128,0x0000,0
20,101.134.230.123,192.168.198.130,4,ICMP,42,20,40,0x1b3d,128,0x0000,0
21,55.82.99.10,192.168.198.130,4,ICMP,42,20,22,0x0000,11,0xf973,1
22,40.215.4.1,192.168.198.130,4,ICMP,42,20,24,0x0000,12,0x5b7e,1
23,115.133.27.69,192.168.198.130,4,ICMP,42,20,23,0x0000,11,0x897d,1
24,199.255.100.19,192.168.198.130,4,ICMP,42,20,31,0x0000,21,0xaa13,1
25,193.109.212.171,192.168.198.130,4,ICMP,42,20,36,0x0000,28,0xf6db,1
26,100.25.215.76,192.168.198.130,4,ICMP,42,20,119,0x1b3d,128,0x0000,0
