"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","227.31.230.124","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=38294/38549, ttl=64 (no response found!)"
"2","0.000011324","57.106.193.234","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=38550/38550, ttl=64 (no response found!)"
"3","0.000050734","187.134.238.55","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=38806/38551, ttl=64 (no response found!)"
"4","0.000060949","1.58.147.123","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=39062/38552, ttl=64 (no response found!)"
"5","0.000099207","84.28.10.159","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=39318/38553, ttl=64 (no response found!)"
"6","0.000108354","223.67.57.4","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=39574/38554, ttl=64 (no response found!)"
"7","0.000160445","248.205.137.9","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=39830/38555, ttl=64 (no response found!)"
"8","0.000216128","150.26.169.200","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=40086/38556, ttl=64 (no response found!)"
"9","0.000258052","203.132.106.9","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=40342/38557, ttl=64 (no response found!)"
"10","0.000267656","55.78.198.33","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=40598/38558, ttl=64 (no response found!)"
"11","0.000307431","197.138.247.96","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=40854/38559, ttl=64 (no response found!)"
"12","0.000316663","213.247.143.207","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=41110/38560, ttl=64 (no response found!)"
"13","0.000356014","111.27.137.140","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=41366/38561, ttl=64 (no response found!)"
"14","0.000365521","160.217.94.1","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=41622/38562, ttl=64 (no response found!)"
"15","0.000404634","74.171.229.124","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=41878/38563, ttl=64 (no response found!)"
"16","0.000414066","223.66.219.220","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=42134/38564, ttl=64 (no response found!)"
"17","0.000452449","223.136.45.89","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=42390/38565, ttl=64 (no response found!)"
"18","0.000461977","107.136.124.140","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=42646/38566, ttl=64 (no response found!)"
"19","0.000500790","239.245.154.142","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=42902/38567, ttl=64 (no response found!)"
"20","0.000510368","101.134.230.123","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=43158/38568, ttl=64 (no response found!)"
"21","0.000548439","55.82.99.10","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=43414/38569, ttl=64 (no response found!)"
"22","0.000557500","40.215.4.1","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=43670/38570, ttl=64 (no response found!)"
"23","0.000595767","115.133.27.69","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=43926/38571, ttl=64 (no response found!)"
"24","0.000605058","199.255.100.19","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=44182/38572, ttl=64 (no response found!)"
"25","0.000696150","193.109.212.171","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=44438/38573, ttl=64 (no response found!)"
"26","0.000703370","100.25.215.76","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=44694/38574, ttl=64 (no response found!)"
"27","0.000737677","30.20.23.227","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=44950/38575, ttl=64 (no response found!)"
"28","0.000746740","84.250.154.49","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=45206/38576, ttl=64 (no response found!)"
"29","0.000784012","26.59.57.36","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=45462/38577, ttl=64 (no response found!)"
"30","0.000793929","137.27.113.28","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=45718/38578, ttl=64 (no response found!)"
"31","0.000831836","117.95.28.142","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=45974/38579, ttl=64 (no response found!)"
"32","0.000841205","219.100.214.236","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=46230/38580, ttl=64 (no response found!)"
"33","0.000880053","224.79.178.4","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=46486/38581, ttl=64 (no response found!)"
"34","0.000889458","25.216.200.199","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=46742/38582, ttl=64 (no response found!)"
"35","0.000928437","8.171.111.27","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=46998/38583, ttl=64 (no response found!)"
"36","0.000944134","79.52.105.1","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=47254/38584, ttl=64 (no response found!)"
"37","0.000981862","200.1.187.99","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=47510/38585, ttl=64 (no response found!)"
"38","0.000990710","147.164.108.67","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=47766/38586, ttl=64 (no response found!)"
"39","0.001028393","216.76.200.200","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=48022/38587, ttl=64 (no response found!)"
"40","0.001037334","154.203.229.98","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=48278/38588, ttl=64 (no response found!)"
"41","0.001074602","26.99.215.149","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=48534/38589, ttl=64 (no response found!)"
"42","0.001083548","216.50.111.144","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=48790/38590, ttl=64 (no response found!)"
"43","0.001135021","201.205.235.205","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=49046/38591, ttl=64 (no response found!)"
"44","0.001145710","199.214.140.26","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=49302/38592, ttl=64 (no response found!)"
"45","0.001413341","9.93.50.196","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=49558/38593, ttl=64 (no response found!)"
"46","0.001424195","255.234.127.155","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=49814/38594, ttl=64 (no response found!)"
"47","0.001461277","27.155.203.50","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=50070/38595, ttl=64 (no response found!)"
"48","0.001470211","247.248.227.41","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=50326/38596, ttl=64 (no response found!)"
"49","0.001505838","187.14.14.107","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=50582/38597, ttl=64 (no response found!)"
"50","0.001515236","240.20.4.109","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=50838/38598, ttl=64 (no response found!)"
"51","0.001607275","29.238.39.17","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=51094/38599, ttl=64 (no response found!)"
"52","0.001712737","147.95.197.229","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=51350/38600, ttl=64 (no response found!)"
"53","0.001803518","131.95.187.255","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=51606/38601, ttl=64 (no response found!)"
"54","0.001828098","198.173.20.67","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=51862/38602, ttl=64 (no response found!)"
"55","0.001914220","89.178.187.214","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=52118/38603, ttl=64 (no response found!)"
"56","0.001936489","4.136.18.247","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=52374/38604, ttl=64 (no response found!)"
"57","0.002032579","26.79.23.82","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=52630/38605, ttl=64 (no response found!)"
"58","0.002056780","122.234.70.46","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=52886/38606, ttl=64 (no response found!)"
"59","0.002178990","215.159.101.144","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=53142/38607, ttl=64 (no response found!)"
"60","0.002202860","234.26.154.95","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=53398/38608, ttl=64 (no response found!)"
"61","0.002291680","19.24.193.34","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=53654/38609, ttl=64 (no response found!)"
"62","0.002314310","78.27.216.231","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=53910/38610, ttl=64 (no response found!)"
"63","0.002400551","214.101.82.231","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=54166/38611, ttl=64 (no response found!)"
"64","0.002425346","0.76.133.46","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=54422/38612, ttl=64 (no response found!)"
"65","0.002513644","55.58.106.137","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=54678/38613, ttl=64 (no response found!)"
"66","0.002537899","12.34.89.57","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=54934/38614, ttl=64 (no response found!)"
"67","0.002698928","109.236.79.219","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=55190/38615, ttl=64 (no response found!)"
"68","0.002721420","88.140.128.240","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=55446/38616, ttl=64 (no response found!)"
"69","0.002819146","88.220.230.96","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=55702/38617, ttl=64 (no response found!)"
"70","0.002836957","197.12.124.66","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=55958/38618, ttl=64 (no response found!)"
"71","0.002922137","236.232.60.165","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=56214/38619, ttl=64 (no response found!)"
"72","0.002945316","12.106.8.100","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=56470/38620, ttl=64 (no response found!)"
"73","0.003034625","223.220.82.164","192.168.198.130","ICMP","42","Echo (ping) request  id=0xa712, seq=56726/38621, ttl=64 (no response found!)"
