"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.79.128","192.168.79.132","ICMP","98","Echo (ping) request  id=0xf26b, seq=1/256, ttl=64 (reply in 2)"
"2","0.000781256","192.168.79.132","192.168.79.128","ICMP","98","Echo (ping) reply    id=0xf26b, seq=1/256, ttl=128 (request in 1)"
"3","1.001713448","192.168.79.128","192.168.79.132","ICMP","98","Echo (ping) request  id=0xf26b, seq=2/512, ttl=64 (reply in 4)"
"4","1.002315349","192.168.79.132","192.168.79.128","ICMP","98","Echo (ping) reply    id=0xf26b, seq=2/512, ttl=128 (request in 3)"
"5","2.023394440","192.168.79.128","192.168.79.132","ICMP","98","Echo (ping) request  id=0xf26b, seq=3/768, ttl=64 (reply in 6)"
"6","2.024219388","192.168.79.132","192.168.79.128","ICMP","98","Echo (ping) reply    id=0xf26b, seq=3/768, ttl=128 (request in 5)"
"7","3.024718385","192.168.79.128","192.168.79.132","ICMP","98","Echo (ping) request  id=0xf26b, seq=4/1024, ttl=64 (reply in 8)"
"8","3.025622590","192.168.79.132","192.168.79.128","ICMP","98","Echo (ping) reply    id=0xf26b, seq=4/1024, ttl=128 (request in 7)"
"9","4.026091849","192.168.79.128","192.168.79.132","ICMP","98","Echo (ping) request  id=0xf26b, seq=5/1280, ttl=64 (reply in 10)"
"10","4.027025887","192.168.79.132","192.168.79.128","ICMP","98","Echo (ping) reply    id=0xf26b, seq=5/1280, ttl=128 (request in 9)"
"11","4.542488417","VMware_9d:39:10","VMware_97:2f:1e","ARP","60","Who has 192.168.79.128? Tell 192.168.79.132"
"12","4.542507771","VMware_97:2f:1e","VMware_9d:39:10","ARP","42","192.168.79.128 is at 00:0c:29:97:2f:1e"
"13","5.027748545","192.168.79.128","192.168.79.132","ICMP","98","Echo (ping) request  id=0xf26b, seq=6/1536, ttl=64 (reply in 14)"
"14","5.028512861","192.168.79.132","192.168.79.128","ICMP","98","Echo (ping) reply    id=0xf26b, seq=6/1536, ttl=128 (request in 13)"
"15","5.063480313","VMware_97:2f:1e","VMware_9d:39:10","ARP","42","Who has 192.168.79.132? Tell 192.168.79.128"
"16","5.064266051","VMware_9d:39:10","VMware_97:2f:1e","ARP","60","192.168.79.132 is at 00:0c:29:9d:39:10"
"17","6.055776129","192.168.79.128","192.168.79.132","ICMP","98","Echo (ping) request  id=0xf26b, seq=7/1792, ttl=64 (reply in 18)"
"18","6.056127365","192.168.79.132","192.168.79.128","ICMP","98","Echo (ping) reply    id=0xf26b, seq=7/1792, ttl=128 (request in 17)"
"19","7.083724421","192.168.79.128","192.168.79.132","ICMP","98","Echo (ping) request  id=0xf26b, seq=8/2048, ttl=64 (reply in 20)"
"20","7.084032285","192.168.79.132","192.168.79.128","ICMP","98","Echo (ping) reply    id=0xf26b, seq=8/2048, ttl=128 (request in 19)"
"21","8.104540754","192.168.79.128","192.168.79.132","ICMP","98","Echo (ping) request  id=0xf26b, seq=9/2304, ttl=64 (reply in 22)"
